wl,E_lower,log_gf,Species
5988.791,5.964,-2.053,Si I
5988.838,5.964,-9.99,Si I
5988.855,0.751,-3.52,CN
5988.875,2.095,-9.76,CN
5988.898,2.387,-3.21,CN
5988.899,2.949,-2.380,Ce II
5988.955,0.262,-13.16,V I
5988.958,12.240,-5.731,Cr II
5988.994,8.097,-0.091,Ti II
5989.009,4.208,-4.728,Cr I
5989.027,12.240,-5.214,Cr II
5989.03,7.946,-3.163,C I
5989.033,3.399,-2.754,Ti I
5989.045,11.092,-9.474,Mn II
5989.045,0.189,-1.414,Th II
5989.054,0.897,-2.23,CN
5989.083,3.042,-3.68,CN
5989.106,2.474,-2.23,CN
5989.158,1.644,-2.090,Ce II
5989.181,6.145,-3.109,Cr II
5989.235,6.671,-3.868,Mn II
5989.24,3.048,-3.02,CN
5989.256,14.912,-4.620,Ni II
5989.261,2.450,-2.08,CN
5989.282,14.903,-5.590,Ni II
5989.287,3.048,-3.09,CN
5989.289,6.285,-3.482,Cr II
5989.294,2.450,-3.04,CN
5989.312,0.380,-2.050,Nd II
